SaveTime,MaxVx,MaxVy,AxNormal,AxBrake,AxJumping,AerialInertia,JumpVelocity,GravityRising,GravityFalling,VerticalSpeedSustainLevel
10.00143,1,5.403363,0.8538536,2,0.4399826,True,341.4156,1.361354,1.547927,0.7049327
10.00206,1,5.403363,0.8538536,2,0.4399826,True,305.0151,1.638691,1.547927,0.7049327
10.0009,1,5.403363,0.8538536,2,0.4399826,True,292.8816,1.638691,1.547927,0.7049327
10.00394,1,5.403363,0.8538536,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00016,1,5.403363,0.8538536,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00767,1,5.403363,0.8538536,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.0008,1,5.403363,0.8538536,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00661,1,5.403363,0.8538536,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.03067,1,5.403363,2,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00046,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.0022,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.0065,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00193,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00258,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00181,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00367,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00229,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00119,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7049327
10.00223,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.7222663
10.00572,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.8551566
10.00719,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.8551566
10.00346,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.8551566
10.00407,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.8551566
10.00653,1,5.403363,0.8328758,2,0.4399826,True,284.7926,1.638691,1.547927,0.8551566
10.00341,1,5.403363,0.8328758,2,0.1641628,True,284.7926,1.638691,1.547927,0.8551566
10.00646,1,5.403363,0.8328758,2,0.1641628,True,284.7926,1.638691,1.547927,0.8551566
10.00171,1,5.403363,0.8328758,2,0.1641628,True,284.7926,1.638691,1.547927,0.8551566
10.00059,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00172,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00135,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00024,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00086,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00372,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00041,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00249,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00815,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00755,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00084,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00457,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00238,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00311,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00062,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00241,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00356,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.0002,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00232,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00142,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.0074,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00285,1,5.403363,0.8328758,2,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00316,1,5.403363,0.8328758,0.9180123,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00092,1,5.403363,0.8328758,0.9180123,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00079,1,5.403363,0.8328758,0.4095623,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00021,1,5.403363,0.8328758,0.3402282,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00171,1,5.403363,0.8328758,0.3402282,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00357,1,5.403363,0.8328758,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00274,1,5.403363,0.8328758,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00594,1,5.403363,0.8328758,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00292,1,5.403363,0.8328758,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00112,1,5.403363,0.3107364,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00259,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00278,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00101,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00557,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00801,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00094,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00501,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00109,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00389,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00075,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00355,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00031,1,5.403363,0.3916263,1.056681,0.1294957,True,284.7926,1.638691,1.547927,0.8551566
10.00019,1,5.403363,0.3916263,1.056681,0.2103856,True,284.7926,1.638691,1.547927,0.8551566
10.00174,1,5.403363,0.3916263,1.056681,0.2103856,True,284.7926,1.638691,1.547927,0.8551566
10.00174,1,5.403363,0.3916263,1.056681,0.2103856,True,284.7926,1.638691,1.547927,0.8551566
10.00668,1,5.403363,0.3916263,1.056681,0.2103856,True,284.7926,1.638691,1.547927,0.8551566
10.00392,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00286,1,5.403363,0.3916263,1.056681,0.3143866,True,284.7926,1.638691,1.547927,0.8551566
10.00074,1,5.403363,0.3916263,1.056681,0.2681638,True,284.7926,1.638691,1.547927,0.8551566
10.00422,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00148,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00166,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00277,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00087,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00896,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00068,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00347,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00132,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00145,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00241,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00103,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.0058,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00289,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00266,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
10.00211,1,5.403363,0.3916263,1.056681,0.2334967,True,284.7926,1.638691,1.547927,0.8551566
